business_id;rating;num_rating;types;price_level
8uF-bhJFgT4Tn6DTb27viA;4.6;2794;bakery|cafe|restaurant|food|point_of_interest|store|establishment;1
A0F-h3xJm_6gHDKcDQwSrQ;4.7;432;food|point_of_interest|store|establishment;2
Jn5nZ0b-cdBS2xHnF4msug;3.2000000000000006;803;cafe|restaurant|food|point_of_interest|store|establishment;1
wnjFEC-w0qWnyDnO8k1RpA;4.7;1355;restaurant|food|point_of_interest|establishment;2
duf2PORLOL6it1dTGhSnKA;4.2;568;restaurant|food|point_of_interest|establishment;1
57WmsMG9ApjYT7zNNX0YYw;3.5;59;convenience_store|gas_station|cafe|restaurant|food|point_of_interest|store|establishment;
VzKca5jeWbfDeqzZZRElzQ;4.5;31;food|point_of_interest|establishment;
h9LVl1yLP69rqWNmsGgALA;3.834817813765182;247;cafe|food|point_of_interest|store|establishment;2
IoHOUGETebGrG3oDGSoAdg;3.9;151;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
WrR6yPcE2Pf-zFR5W9vPxg;2.7;20;food|point_of_interest|store|establishment;
pMK3BNK9Mk0jopvoVACwbA;3.9;295;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
iyW-OrFw2YnRxsoeQ36skg;4.8;108;grocery_or_supermarket|food|point_of_interest|store|establishment;
Uq1o6DXKALmjdElXp4mEtQ;5;14;restaurant|food|point_of_interest|establishment;
PTn0hZz7BiP5T2muyoxrjQ;4.2;600;cafe|restaurant|food|point_of_interest|store|establishment;2
JkyEYN3pCk1B7qRuXAUX4g;4.3;33;food|point_of_interest|store|establishment;
s4VzQaUCrgwPuViQYOqC2w;4.3;483;restaurant|food|point_of_interest|establishment;1
IRkQtjBxgVEqAOdtjgi6hQ;4.8;231;bakery|food|point_of_interest|store|establishment;
eaJCpC6IhYphj7bwCDHTwQ;4.6;510;cafe|food|point_of_interest|store|establishment;1
3bmrxhqVpB5XCg-4j6y39A;3.1000000000000005;732;cafe|restaurant|food|point_of_interest|store|establishment;1
GZdflq6wvOXyOtSFThqNmA;4.5;330;restaurant|food|point_of_interest|establishment;1
SpKppNFimODBt-BZ0c2WbA;4.1;479;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
p24n1vScP_MHxJVPrao-jA;5;1;cafe|food|point_of_interest|store|establishment;
3_kZ2pDiKJLZ9kGKKOWqdA;3.4;1452;cafe|restaurant|food|point_of_interest|store|establishment;1
eqNutOMnPqKa9QDAY6KfEw;4.8;535;bakery|cafe|food|point_of_interest|store|establishment;2
